inputs,response
FITIZEN의 AI 맞춤운동 찾기 기능은 무엇인가요?,FITIZEN의 AI 맞춤운동 찾기 기능은 사용자의 신체 상태와 목표에 맞춘 운동을 추천해주는 시스템입니다.
FITIZEN 챌린지에 참여하려면 어떻게 해야 하나요?,FITIZEN 웹사이트의 챌린지 메뉴에서 원하는 챌린지를 선택하여 등록 후 참여할 수 있습니다.
FITIZEN의 자유게시판에서 어떤 내용을 공유할 수 있나요?,"운동 관련 정보, 식단 조언, 운동 후기를 자유게시판에서 다른 사용자와 공유할 수 있습니다."
송혜교가 다이어트를 위해 했던 운동은 무엇인가요?,송혜교는 다이어트를 위해 매일 4시간씩 걷기 운동을 실천했습니다.
FITIZEN에서 제공하는 포인트 제도는 무엇인가요?,FITIZEN에서 활동에 참여하고 챌린지를 수행하며 포인트를 쌓아 다양한 프로그램에 활용할 수 있습니다.
혈당을 조절하는 것이 체지방 관리에 어떻게 도움이 되나요?,혈당을 안정적으로 유지하면 인슐린 분비가 조절되어 체지방 축적을 줄일 수 있습니다.
체지방 감량을 위해 주 몇 회 운동하는 것이 좋나요?,체지방 감량을 위해 주 3-5회 유산소 운동을 추천합니다.
근육량 증가를 위해 하루에 필요한 단백질 양은?,근육량 증가를 위해 체중 1kg당 1.6-2.2g의 단백질 섭취가 좋습니다.
운동 초보자는 어떤 유산소 운동을 시작해야 하나요?,"걷기, 가벼운 자전거 타기 등 낮은 강도의 유산소 운동을 추천합니다."
근력 운동과 유산소 운동을 병행해야 하는 이유는?,"근력 운동은 근육을 강화하고, 유산소 운동은 심폐 기능을 향상시킵니다."
식단 관리가 중요한 이유는 무엇인가요?,식단 관리는 체중 조절과 건강 유지에 중요한 역할을 합니다.
하루 운동 시간은 얼마나 하는 것이 적당한가요?,하루 30-60분의 운동이 건강에 적당합니다.
탄수화물 섭취를 줄여야 체중 감량에 도움이 되나요?,"네, 정제된 탄수화물 섭취를 줄이는 것이 체중 감량에 도움이 됩니다."
다이어트 중 가급적 피해야 할 음식은 무엇인가요?,"고당분, 고지방 가공식품은 피하는 것이 좋습니다."
